,open,close,high,low,volume,money
2011/5/30,2956.57,2954.51,2982.58,2942.36,3467116000,42960260576
2011/5/31,2958.61,3001.56,3001.73,2946.15,3968939900,50553386204
2011/6/1,2996.09,3004.17,3006.56,2985.71,3841932700,49060076491
2011/6/2,2970.63,2955.7,2984.49,2923.02,5261786700,61748347004
2011/6/3,2951.58,2986.35,2993.89,2951.2,3907616400,49273758984
2011/6/7,2977.68,3004.26,3006.57,2974.36,3685233200,49859134919
2011/6/8,3003.58,3008.65,3012.81,2965.92,4290875800,51123188095
2011/6/9,3000.4,2951.89,3004.06,2951.89,4749663600,55381280377
2011/6/10,2947.93,2961.93,2964.08,2925.87,4220188200,50942992933
2011/6/13,2940.39,2950.35,2957.52,2921.75,3835166800,46991283431
2011/6/14,2947.66,2993.56,3000.53,2943.53,5598281500,66158911408
2011/6/15,2984.96,2963.12,2999.15,2963.11,4439085200,54467701030
2011/6/16,2939.68,2917.58,2946.82,2915.4,4113548200,47067185495
2011/6/17,2916.41,2892.16,2934.06,2891.01,4117653000,51647156163
2011/6/20,2888.93,2874.9,2896.08,2862.41,3799198200,45416696840
2011/6/21,2883.35,2909.07,2909.57,2877.05,4203892300,50160678865
2011/6/22,2913.67,2908.58,2921.03,2894.18,3731880200,43263825738
2011/6/23,2899.01,2957.63,2966.54,2888.68,4594111700,55276886318
2011/6/24,2946.61,3027.47,3047.94,2944.05,8545924000,1.04973E+11
2011/6/27,3028.5,3036.49,3056.02,3019.24,6561577100,79044152725
2011/6/28,3040.18,3041.73,3046.8,3014,5576625400,70333384864
2011/6/29,3039.05,3000.17,3043.82,2999.95,5347684800,61717623012
2011/6/30,3003.23,3044.09,3058.63,3003.23,6250254900,73891668789
2011/7/1,3052.12,3049.74,3071.21,3034.07,5676665300,72614645374
2011/7/4,3064.93,3121.98,3124.58,3064.93,8046403100,1.0268E+11
2011/7/5,3122.9,3122.5,3128.53,3105.09,6776333500,81999827927
2011/7/6,3116.12,3113.71,3116.12,3084.83,6155580700,76556996969
2011/7/7,3123.29,3101.68,3140.1,3101.1,7181036000,92120550136
2011/7/8,3105.49,3109.18,3124.39,3093.37,5128259300,65155542913
2011/7/11,3097.87,3113.21,3121,3086.26,4792066000,62237248759
